yasashiikumo, Last month elo: 11.331, this month elo: 11.298, diff: -0.033
2skr, Last month elo: 10.137, this month elo: 10.093, diff: -0.044
comfv, Last month elo: 14.287, this month elo: 14.236, diff: -0.051
Kyuuuu, Last month elo: 10.027, this month elo: 9.975, diff: -0.052
anatharax, Last month elo: 7.323, this month elo: 7.271, diff: -0.052
kaededayo, Last month elo: 15.125, this month elo: 15.071, diff: -0.054
legrandort, Last month elo: 9.961, this month elo: 9.902, diff: -0.059
Andrey_K, Last month elo: 9.379, this month elo: 9.319, diff: -0.06
Fumiii, Last month elo: 14.444, this month elo: 14.375, diff: -0.069
Spartric, Last month elo: 9.501, this month elo: 9.429, diff: -0.072
hubcioskubcio, Last month elo: 6.938, this month elo: 6.861, diff: -0.077
shadismith, Last month elo: 8.892, this month elo: 8.799, diff: -0.093
BigSmo, Last month elo: 9.586, this month elo: 9.489, diff: -0.097
Patoche49, Last month elo: 9.54, this month elo: 9.442, diff: -0.098
Hyonoobka, Last month elo: 9.024, this month elo: 8.924, diff: -0.1
rna, Last month elo: 10.373, this month elo: 10.27, diff: -0.103
MemoriesLast, Last month elo: 9.862, this month elo: 9.753, diff: -0.109
OkitaNobu, Last month elo: 8.526, this month elo: 8.417, diff: -0.109
OSXtrafton, Last month elo: 5.508, this month elo: 5.398, diff: -0.11
Sgtvp, Last month elo: 10.634, this month elo: 10.522, diff: -0.112
Mangalodon, Last month elo: 7.124, this month elo: 7.008, diff: -0.116
atsui, Last month elo: 10.684, this month elo: 10.567, diff: -0.117
TateyamaAyano, Last month elo: 7.497, this month elo: 7.38, diff: -0.117
CM02, Last month elo: 9.016, this month elo: 8.894, diff: -0.122
YellowRose, Last month elo: 8.799, this month elo: 8.676, diff: -0.123
YunnN, Last month elo: 10.829, this month elo: 10.705, diff: -0.124
harges, Last month elo: 11.334, this month elo: 11.205, diff: -0.129
uy5gf, Last month elo: 10.532, this month elo: 10.399, diff: -0.133
liljakatsuragi, Last month elo: 12.019, this month elo: 11.881, diff: -0.138
Lika, Last month elo: 16.395, this month elo: 16.256, diff: -0.139
_nadeshiko, Last month elo: 12.31, this month elo: 12.165, diff: -0.145
Orfey, Last month elo: 12.335, this month elo: 12.179, diff: -0.156
MoltenAshes, Last month elo: 12.891, this month elo: 12.733, diff: -0.158
DKing20, Last month elo: 13.221, this month elo: 13.06, diff: -0.161
Solosion, Last month elo: 11.721, this month elo: 11.557, diff: -0.164
inta, Last month elo: 8.885, this month elo: 8.715, diff: -0.17
Jakemonkey, Last month elo: 12.644, this month elo: 12.471, diff: -0.173
anonimus_opinion, Last month elo: 14.239, this month elo: 14.064, diff: -0.175
RaidenMei, Last month elo: 14.017, this month elo: 13.84, diff: -0.177
JuliAless64, Last month elo: 15.726, this month elo: 15.54, diff: -0.186
peeku, Last month elo: 15.001, this month elo: 14.814, diff: -0.187
Zental, Last month elo: 14.717, this month elo: 14.529, diff: -0.188
uomi, Last month elo: 12.727, this month elo: 12.537, diff: -0.19
ShiroganeLily, Last month elo: 11.56, this month elo: 11.37, diff: -0.19
Deafness, Last month elo: 20.379, this month elo: 20.183, diff: -0.196
zokie, Last month elo: 9.618, this month elo: 9.42, diff: -0.198
KanaKanowata, Last month elo: 8.157, this month elo: 7.954, diff: -0.203
YuriMeguri, Last month elo: 19.102, this month elo: 18.897, diff: -0.205
Diukes, Last month elo: 14.909, this month elo: 14.703, diff: -0.206
PoolNoodle, Last month elo: 20.686, this month elo: 20.472, diff: -0.214
supersmooth, Last month elo: 16.838, this month elo: 16.619, diff: -0.219
AitsukiNakuru, Last month elo: 12.426, this month elo: 12.19, diff: -0.236
neoburnz, Last month elo: 18.581, this month elo: 18.34, diff: -0.241
keysha18, Last month elo: 8.467, this month elo: 8.204, diff: -0.263
cafezinho, Last month elo: 15.865, this month elo: 15.59, diff: -0.275
Bommie, Last month elo: 11.838, this month elo: 11.549, diff: -0.289
ss_r_white_pony, Last month elo: 12.311, this month elo: 12.019, diff: -0.292
Math_, Last month elo: 18.165, this month elo: 17.867, diff: -0.298
mahzrunner, Last month elo: 13.032, this month elo: 12.724, diff: -0.308
Serozero, Last month elo: 10.654, this month elo: 10.341, diff: -0.313
Lightning, Last month elo: 11.057, this month elo: 10.739, diff: -0.318
Porte, Last month elo: 10.652, this month elo: 10.331, diff: -0.321
tskr, Last month elo: 9.827, this month elo: 9.459, diff: -0.368
Ephemeral, Last month elo: 13.688, this month elo: 13.319, diff: -0.369
Milar, Last month elo: 18.023, this month elo: 17.652, diff: -0.371
kabigon, Last month elo: 15.998, this month elo: 15.596, diff: -0.402
Noru, Last month elo: 15.898, this month elo: 15.432, diff: -0.466
Nephirea, Last month elo: 15.798, this month elo: 15.326, diff: -0.472
oh95, Last month elo: 14.322, this month elo: 13.85, diff: -0.472
Emdiel, Last month elo: 16.292, this month elo: 15.787, diff: -0.505
Shadow, Last month elo: 11.494, this month elo: 10.943, diff: -0.551
Konsumenci, Last month elo: 12.395, this month elo: 11.821, diff: -0.574
hmsuis, Last month elo: 13.194, this month elo: 12.612, diff: -0.582
civiltwlight, Last month elo: 17.824, this month elo: 17.208, diff: -0.616
revel, Last month elo: 17.761, this month elo: 17.051, diff: -0.71
Floth, Last month elo: 14.912, this month elo: 14.107, diff: -0.805
doomchicken, Last month elo: 14.301, this month elo: 13.49, diff: -0.811
Python, Last month elo: 13.898, this month elo: 13.046, diff: -0.852
LelPop, Last month elo: 12.225, this month elo: 11.071, diff: -1.154
