Naizuri, Last month elo: 9.614, this month elo: 9.608, diff: -0.006
Goko8765, Last month elo: 8.145, this month elo: 8.124, diff: -0.021
ShiroganeLily, Last month elo: 11.411, this month elo: 11.382, diff: -0.029
Progenitor, Last month elo: 13.469, this month elo: 13.437, diff: -0.032
LordGrond, Last month elo: 6.158, this month elo: 6.125, diff: -0.033
Kenzou_Tenma, Last month elo: 11.246, this month elo: 11.208, diff: -0.038
yasashiikumo, Last month elo: 11.11, this month elo: 11.068, diff: -0.042
kabigon, Last month elo: 15.138, this month elo: 15.073, diff: -0.065
CM02, Last month elo: 8.911, this month elo: 8.843, diff: -0.068
PotatoSnipez, Last month elo: 8.722, this month elo: 8.645, diff: -0.077
PotassiumF, Last month elo: 9.645, this month elo: 9.553, diff: -0.092
Solosion, Last month elo: 11.515, this month elo: 11.4, diff: -0.115
TateyamaAyano, Last month elo: 7.407, this month elo: 7.287, diff: -0.12
Noru, Last month elo: 15.497, this month elo: 15.36, diff: -0.137
IAmAsianNoob, Last month elo: 8.332, this month elo: 8.188, diff: -0.144
Jakemonkey, Last month elo: 12.109, this month elo: 11.964, diff: -0.145
atsui, Last month elo: 10.517, this month elo: 10.358, diff: -0.159
Nephirea, Last month elo: 15.292, this month elo: 15.114, diff: -0.178
Sgtvp, Last month elo: 10.769, this month elo: 10.569, diff: -0.2
kar72, Last month elo: 17.832, this month elo: 17.605, diff: -0.227
xeyz, Last month elo: 8.89, this month elo: 8.653, diff: -0.237
Saiki, Last month elo: 13.421, this month elo: 13.172, diff: -0.249
MythAndroid, Last month elo: 8.323, this month elo: 8.068, diff: -0.255
kuusetsu, Last month elo: 6.16, this month elo: 5.904, diff: -0.256
Jessi, Last month elo: 13.782, this month elo: 13.525, diff: -0.257
chemist, Last month elo: 12.266, this month elo: 12.002, diff: -0.264
anatharax, Last month elo: 7.317, this month elo: 7.03, diff: -0.287
uomi, Last month elo: 12.493, this month elo: 12.203, diff: -0.29
Flato, Last month elo: 13.238, this month elo: 12.943, diff: -0.295
hubcioskubcio, Last month elo: 7.439, this month elo: 7.133, diff: -0.306
Maki04, Last month elo: 13.806, this month elo: 13.486, diff: -0.32
Kirox, Last month elo: 11.198, this month elo: 10.872, diff: -0.326
peeku, Last month elo: 15.674, this month elo: 15.346, diff: -0.328
ruuka, Last month elo: 13.546, this month elo: 13.19, diff: -0.356
Mangalodon, Last month elo: 7.409, this month elo: 7.045, diff: -0.364
tskr, Last month elo: 9.954, this month elo: 9.563, diff: -0.391
Kezzy, Last month elo: 16.056, this month elo: 15.661, diff: -0.395
