Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,Samples
405,anicomi,29.179,0.667,2.0,5.322,4.0,1.0,8,8,0,30.0,10.333,42.667,12.667,3.0,1.667,0.0,0.0,4.748,3
416,OkitaNobu,21.971,1.5,3.5,5.162,3.0,1.5,3,7,0,16.0,8.0,27.5,11.5,1.5,0.5,2.0,0.5,4.109,2
417,YellowRose,31.5,0.5,0.5,4.986,1.0,2.5,4,6,0,23.5,10.0,30.0,6.5,2.0,0.5,2.5,0.0,4.298,2
419,keysha18,38.818,1.0,2.0,5.231,4.333,5.0,9,7,0,39.0,16.667,48.333,9.333,2.667,0.333,1.667,0.0,4.527,3
428,SaoriHayami,43.75,1.0,1.0,4.971,6.0,5.0,2,4,0,55.0,15.0,76.0,21.0,6.0,1.0,3.0,0.0,4.526,1
431,Luna,27.254,0.5,1.0,5.38,3.5,1.0,6,4,0,11.0,18.0,16.0,5.0,1.5,0.5,0.0,0.0,4.23,2
441,Dav1d1,39.386,3.5,1.5,4.554,7.0,7.0,9,12,0,40.75,9.25,46.0,5.25,7.0,1.25,1.25,0.0,4.066,4
442,Efe,48.673,3.0,0.0,5.091,7.0,4.0,1,4,0,21.0,34.0,21.0,0.0,0.0,0.0,0.0,2.0,5.524,1
451,onai,39.894,0.5,0.5,5.383,1.5,3.5,5,6,0,21.0,36.5,23.0,2.0,0.0,0.0,1.0,0.0,5.211,2
462,hakohoka,11.538,2.0,9.0,4.833,4.0,1.0,3,3,0,14.0,4.0,16.0,2.0,4.0,0.0,0.0,0.0,4.688,1
466,metak,33.058,3.0,3.0,4.875,6.0,3.0,3,2,0,34.0,6.0,47.0,13.0,9.0,1.0,2.0,0.0,4.106,1
