Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Player ID
2026-01-09 05:13:22,13.0,neptune,34.969,8.515,2,47,0,4.404,22,0,0,34.969,5,14,57,163,2,3,1,77
2026-01-09 05:13:22,11.648,doomchicken,35.294,10.028,7,36,0,4.13,24,0,0,35.294,11,8,54,153,3,2,1,78
2026-01-04 22:04:34,12.52,Alkios,30.0,7.654,3,47,0,4.315,22,0,0,30,10,7,54,180,4,2,0,84
2026-01-19 20:30:37,10.0,Baikinman,32.593,9.589,7,36,0,3.614,23,0,0,32.593,11,8,44,135,3,3,0,91
2026-01-04 22:04:34,9.598,Comete,24.39,5.896,1,38,0,4.225,16,0,0,24.39,6,3,40,164,1,5,0,98
2026-01-09 05:13:22,10.767,joey,31.373,9.921,8,36,1,4.0,23,0,0,31.373,11,5,48,153,3,2,1,104
2026-01-19 20:30:37,10.767,joey,29.63,8.175,5,36,0,3.7,21,0,0,29.63,9,9,40,135,3,3,0,104
2026-01-04 22:04:34,10.178,Saiki,28.221,7.074,7,42,0,4.565,16,0,0,28.221,8,7,46,163,3,3,0,115
2026-01-19 20:30:37,10.178,Saiki,24.444,11.082,14,38,0,2.576,26,0,0,24.444,17,5,33,135,3,3,0,115
2026-01-19 20:30:37,9.681,Fumiii,29.323,8.282,4,46,1,3.641,22,0,0,29.323,9,10,39,133,4,2,0,119
2026-01-19 20:30:37,6.945,Janoxx,11.852,2.527,2,38,1,4.312,5,0,0,11.852,2,2,16,135,3,3,0,121
2026-01-04 22:04:34,9.912,mahzrunner,31.902,6.188,1,42,0,4.712,12,0,0,31.902,4,10,52,163,3,3,0,143
2026-01-19 20:30:37,9.912,mahzrunner,29.63,7.561,3,38,0,3.75,20,0,0,29.63,7,10,40,135,3,3,0,143
2026-01-19 20:30:37,7.774,thjalago,18.045,4.218,3,38,2,4.375,9,0,0,18.045,6,2,24,133,2,4,0,147
