Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
450,2026-02-22 14:11:03,8.936,Zarelyyyx,35.294,8.092,4,8,3,4.724,9,41.379,27.778,43.137,8,6,48,143,21,23,0,88.889,9.091,34.965,50,5,6,33,17,3,1,4.278,15
451,2026-03-11 15:46:26,10.099,onai,35.897,8.174,3,6,1,4.696,6,7.692,36.585,42.857,6,9,42,145,14,7,0,84.615,26.042,17.949,21,1,2,17,4,1,2,4.615,25
453,2026-03-27 16:16:34,10.0,RyoutaVN,22.917,7.457,3,15,0,3.409,13,18.75,18.919,27.907,6,5,22,96,2,3,0,81.25,11.25,16.667,16,4,0,13,3,0,0,2.5,9
462,2026-03-31 01:25:22,10.294,hakohoka,18.333,6.123,4,8,4,3.867,9,9.524,7.692,9.091,5,6,22,120,17,22,0,92.308,7.792,8.654,21,5,0,17,4,1,1,4.667,6
468,2026-01-01 18:43:39,10.0,MisheruDesu,14.13,3.214,1,14,4,4.462,6,17.391,15.625,10.811,1,2,13,92,3,2,0,57.143,1.408,22.826,21,1,1,12,9,4,0,3.143,1
469,2026-01-01 18:43:39,10.0,lezzado,34.783,11.642,7,14,0,3.656,19,34.783,37.5,32.432,9,5,32,92,3,2,0,75,13.333,34.783,32,4,5,24,8,1,0,2.594,8
472,2026-02-07 07:17:50,10.0,Whales6978,12.5,1.871,0,10,1,5.143,2,23.81,6.667,13.043,1,1,14,112,2,4,0,44.828,1.205,25.893,29,2,2,13,16,1,0,4.103,1
474,2026-02-07 07:17:50,10.0,Nomu,8.108,3.111,2,8,3,4.2,5,19.355,7.317,7.407,2,1,10,139,4,14,0,26.316,1.282,36.082,38,12,10,10,30,10,0,2.697,1
508,2026-02-20 09:11:44,10.0,JaneRemover,22.581,4.88,3,14,0,4.333,8,23.529,25.641,18.919,4,4,21,93,1,9,0,60,8.824,28.09,25,3,2,15,16,6,0,3.04,6
514,2026-03-27 16:16:34,10.771,zomg,15.625,4.379,3,15,1,4.067,6,6.25,18.919,16.279,4,1,15,107,4,7,0,33.333,8.696,28.125,29,7,5,9,22,7,0,2.222,6
