Tournament Date,Player ID,player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate,rigs,rigs hit,correct count,song count,Rigs missed,Offlist GR
2025-08-19,325,Swapin,37.931,7.905,31.687,2,4.5,0,0,37.931,42,30,44,116,12,18.92%
2025-09-07,325,Swapin,40.86,7.918,29.298,2,4.789,0,0,40.86,33,24,38,93,9,23.33%
2025-09-25,325,Swapin,40.8,5.963,30.505,1,5.196,0,0,40.8,37,29,51,125,8,25.00%
2025-10-17,325,Swapin,48.951,11.758,29.785,2,4.529,0,0,48.951,51,45,70,143,6,27.17%
2025-10-26,325,Swapin,37.097,8.931,31.923,3,4.5,0,0,37.097,34,22,46,124,12,26.67%
2025-10-17,326,CureZukyoon,41.818,12.714,29.865,4,4.261,0,0,41.818,43,30,46,110,13,23.88%
2025-08-19,335,xeyz,20.611,2.417,34.421,0,5.63,0,0,20.611,90,27,27,131,63,0.00%
2025-09-02,335,xeyz,24.627,3.682,32.56,0,5.121,0,0,24.627,100,29,33,134,71,11.76%
2025-09-12,335,xeyz,25.658,2.761,34.457,1,5.769,0,0,25.658,124,37,39,152,87,7.14%
2025-09-14,335,xeyz,18.681,4.517,29.404,1,4.235,0,0,18.681,60,16,17,91,44,3.23%
2025-09-25,335,xeyz,23.478,2.431,33.959,0,5.815,0,0,23.478,76,25,27,115,51,5.13%
2025-10-11,335,xeyz,24.113,3.354,34.832,1,5.824,0,0,24.113,110,34,34,141,76,0.00%
2025-10-17,335,xeyz,28.283,5.402,31.235,0,4.857,0,0,28.283,67,27,28,99,40,3.13%
2025-10-26,335,xeyz,24.194,5.049,33.01,0,4.567,0,0,24.194,90,29,30,124,61,2.94%
2025-09-14,343,inta,20.536,4.75,28.761,2,4.652,0,0,20.536,30,19,23,112,11,4.88%
2025-10-26,356,lsekaijoucho,52.0,10.853,33.255,5,4.91,0,0,52,66,48,78,150,18,35.71%
2025-09-02,364,I_dont_like_loli,32.8,4.049,31.222,1,5.561,0,0,32.8,30,27,41,125,3,14.74%
2025-09-12,364,I_dont_like_loli,32.237,4.446,30.733,0,5.388,0,0,32.237,42,34,49,152,8,13.64%
2025-10-17,364,I_dont_like_loli,32.09,4.97,32.804,1,5.628,0,0,32.09,33,26,43,134,7,16.83%
2025-07-20,366,AitsukiNakuru,50.955,8.411,32.797,3,5.075,0,0,50.955,84,60,80,157,24,27.40%
2025-10-11,366,AitsukiNakuru,53.279,13.072,30.198,5,4.708,0,0,53.279,49,39,65,122,10,35.62%
2025-07-20,367,PotassiumF,34.746,6.559,31.27,1,4.732,0,0,34.746,35,26,41,118,9,18.07%
2025-09-07,367,PotassiumF,40.86,7.474,31.935,1,4.789,0,0,40.86,28,26,38,93,2,18.46%
2025-10-11,367,PotassiumF,39.007,7.005,33.398,1,5.4,0,0,39.007,48,44,55,141,4,11.83%
2025-10-26,369,florenz,30.833,5.54,35.722,0,4.973,0,0,30.833,44,28,37,120,16,11.84%
2025-09-12,370,Andrey_K,32.8,5.879,29.243,2,5.073,0,0,32.8,35,30,41,125,5,12.22%
2025-10-17,370,Andrey_K,26.263,5.666,28.68,1,4.769,0,0,26.263,17,16,26,99,1,12.20%
2025-10-26,370,Andrey_K,36.667,9.649,31.192,3,4.455,0,0,36.667,30,28,44,120,2,17.78%
2025-08-19,376,qwecocacola,36.552,6.812,27.089,1,4.792,0,0,36.552,35,31,53,145,4,20.00%
2025-10-11,378,erzakuran,10.476,3.58,26.777,2,4.455,0,0,10.476,13,10,11,105,3,1.09%
2025-10-26,378,erzakuran,13.072,3.78,28.03,3,4.45,0,0,13.072,27,18,20,153,9,1.59%
2025-09-02,379,CipherKai,59.2,11.36,30.721,2,4.757,0,0,59.2,70,58,74,125,12,29.09%
2025-10-17,379,CipherKai,46.4,11.232,31.777,0,4.466,0,0,46.4,56,44,58,125,12,20.29%
2025-10-17,381,Gokozinho,20.909,5.571,30.478,1,4.435,0,0,20.909,31,19,23,110,12,5.06%
2025-10-26,389,Sharet,34.426,7.619,31.272,2,4.714,0,0,34.426,34,25,42,122,9,19.32%
2025-07-20,393,Kyuuuu,29.252,3.247,31.362,1,5.744,0,0,29.252,47,31,43,147,16,12.00%
2025-08-19,393,Kyuuuu,33.333,5.255,32.571,1,5.105,0,0,33.333,37,27,38,114,10,14.29%
2025-09-07,393,Kyuuuu,26.724,5.141,31.938,1,4.742,0,0,26.724,30,23,31,116,7,9.30%
2025-09-12,393,Kyuuuu,34.426,6.832,32.008,2,4.881,0,0,34.426,39,32,42,122,7,12.05%
2025-09-25,393,Kyuuuu,34.959,7.746,31.269,2,4.791,0,0,34.959,42,29,43,123,13,17.28%
2025-10-11,393,Kyuuuu,35.294,7.198,32.148,3,5.283,0,0,35.294,54,41,60,170,13,16.38%
2025-10-17,393,Kyuuuu,36.196,9.165,29.518,6,4.661,0,0,36.196,53,44,59,163,9,13.64%
2025-10-26,393,Kyuuuu,37.063,9.243,31.536,3,4.547,0,0,37.063,51,39,53,143,12,15.22%
2025-07-20,394,MizukiNana,66.216,11.452,31.483,2,5.031,0,0,66.216,64,57,98,148,7,48.81%
