Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE
169,2026-03-10 22:16:34,83.15,yashadox,26.667,40.361,0,7,2,5.321,5,26.667,0,0,1,2,28,124,4,11,0
171,2026-01-27 23:01:56,5.761,JustAWeirdo,9.184,1.284,0,5,3,5.444,1,9.184,0,0,0,1,9,98,3,2,0
174,2026-06-08 21:45:47,56.16,TateyamaAyano,9.709,5.261,0,9,6,6.222,3,9.709,0,0,0,3,10,108,2,8,0
175,2026-05-09 18:07:10,93.068,Kirox,36.429,71.203,3,8,5,5.745,8,36.429,0,0,6,6,51,151,18,22,3
177,2026-06-08 21:45:47,108.15,oh95,52.071,96.328,7,8,2,5.633,28,52.071,0,0,9,18,98,192,47,50,7
180,2026-06-21 21:37:00,50.0,psirockin,15.909,18.941,0,1,1,5.524,4,15.909,0,0,1,2,21,132,2,4,0
181,2026-06-29 21:32:13,113.269,Yolowolf75,56.805,111.879,5,8,2,5.402,8,56.805,0,0,9,13,96,169,34,32,6
191,2026-06-14 17:59:17,55.0,redeyes,26.829,25.603,0,7,3,5.727,4,26.829,0,0,2,1,33,123,2,3,0
194,2026-06-14 17:59:17,120.23,Math_,63.309,118.576,3,9,0,4.378,35,63.309,0,0,11,19,88,139,7,2,1
217,2026-01-10 19:11:59,7.24,ShelterRin,27.174,3.812,0,3,1,5.28,2,27.174,0,0,0,2,25,92,2,3,0
228,2026-06-21 21:37:00,109.22,Dry,46.535,137.072,6,7,8,4.676,28,46.535,0,0,16,14,61,151,23,16,0
237,2026-06-29 21:32:13,45.0,transfer,13.043,21.038,0,4,6,5.048,7,13.043,0,0,4,1,21,161,5,1,0
238,2026-05-01 20:24:45,87.02,Progenitor,34.783,48.612,1,8,4,5.531,8,34.783,0,0,2,3,56,181,7,4,1
241,2026-03-08 16:44:21,85.8,yasashiikumo,27.2,24.042,1,6,3,5.941,9,27.2,0,0,2,2,34,143,5,8,2
250,2026-02-27 22:09:28,90.0,md22,26.667,51.408,0,4,2,4.824,8,26.667,0,0,3,2,32,120,2,7,0
263,2026-04-26 18:05:32,115.208,Tvaz,53.782,131.102,5,9,5,5.597,9,53.782,0,0,12,16,79,179,46,51,9
268,2026-06-08 21:45:47,143.26,civiltwlight,79.412,202.381,10,9,1,5.5,49,79.412,0,0,14,33,146,192,14,17,2
274,2026-06-29 21:32:13,116.36,Mami,50.299,110.233,9,8,1,4.714,27,50.299,0,0,11,12,84,167,12,11,1
276,2026-06-14 17:59:17,107.49,hmsuis,44.545,95.426,4,8,4,6.298,8,44.545,0,0,8,8,84,192,34,36,5
277,2026-06-14 17:59:17,97.843,chemist,43.796,84.576,3,9,2,5.256,8,43.796,0,0,9,10,74,183,30,32,4
285,2026-03-13 14:22:05,85.0,miiarad,22.099,30.073,1,16,4,5.5,6,22.099,0,0,4,2,40,181,4,2,0
289,2026-06-21 21:37:00,100.084,Provenance,38.298,71.324,4,9,4,5.636,9,38.298,0,0,8,7,63,171,21,19,3
291,2026-01-10 19:11:59,7.156,ss_r_white_pony,15.116,1.861,0,4,0,5.692,2,15.116,0,0,0,0,13,86,2,3,0
292,2026-04-21 21:41:06,81.196,FeyFey,25.472,31.527,2,8,5,6.15,7,25.472,0,0,3,6,34,169,35,41,1
307,2026-06-08 21:45:47,115.0,kaededayo,53.488,64.055,1,9,0,5.277,9,53.488,0,0,5,6,69,142,7,8,1
311,2026-03-13 14:22:05,105.0,beautiful,47.399,95.57,4,25,0,4.634,24,47.399,0,0,8,9,82,173,1,5,0
317,2026-01-06 20:54:30,7.5,Hyo,21.6,3.998,0,8,1,5.0,7,21.6,0,0,0,5,27,125,3,2,0
325,2026-06-29 21:32:13,98.903,Swapin,47.154,83.157,2,8,6,6.0,9,47.154,0,0,6,7,72,184,73,69,9
326,2026-01-23 20:50:49,9.0,pomo,19.811,4.093,2,7,1,5.286,4,19.811,0,0,2,0,21,106,1,4,0
327,2026-06-29 21:32:13,120.219,Flato,58.462,129.288,7,9,2,5.621,36,58.462,0,0,14,21,103,197,117,114,11
330,2026-02-11 19:51:50,15.982,_nadeshiko,63.248,20.602,12,7,0,4.189,46,63.248,0,0,18,17,97,163,6,5,0
332,2026-01-03 18:46:20,7.411,Mangalodon,22.857,5.222,1,2,1,4.792,8,22.857,0,0,6,1,24,105,3,2,0
335,2026-01-06 20:54:30,6.946,xeyz,21.094,3.83,0,1,1,5.0,7,21.094,0,0,2,1,27,128,1,4,0
336,2026-03-02 00:26:46,99.42,fiftypercentweeb,44.348,82.54,3,7,4,5.549,9,44.348,0,0,6,4,71,184,16,10,1
338,2026-01-30 05:07:19,7.101,ranny,18.627,3.946,1,3,3,4.684,4,18.627,0,0,3,0,19,102,4,2,0
339,2026-03-28 18:51:08,94.23,Hibari,37.179,50.842,0,7,1,5.414,9,37.179,0,0,2,4,58,156,3,7,1
344,2026-06-21 21:37:00,107.632,Naizuri,44.444,95.298,7,8,7,5.79,9,44.444,0,0,10,12,74,191,98,93,10
348,2026-03-18 04:23:46,90.0,Heleos,26.061,35.168,0,17,1,5.442,6,26.061,0,0,1,2,43,165,2,4,0
356,2026-02-04 18:43:52,9.0,Isekaijoucho,18.966,3.664,1,6,5,5.409,4,18.966,0,0,2,0,22,116,4,1,0
357,2026-02-23 19:02:26,70.0,chommy,5.66,13.225,0,6,4,4.167,2,5.66,0,0,1,0,6,106,1,4,0
363,2026-01-09 00:54:36,6.0,Wiwmek,25.385,4.326,1,3,3,5.424,6,25.385,0,0,3,2,33,130,3,2,0
368,2026-05-31 17:58:26,85.0,arpia97,22.772,37.094,0,3,4,4.87,5,22.772,0,0,1,3,23,101,3,2,0
369,2026-05-09 18:07:10,122.632,florenz,67.361,176.242,9,8,2,5.561,7,67.361,0,0,16,24,116,180,40,40,4
370,2026-05-31 17:58:26,94.75,Andrey_K,30.769,46.812,3,6,3,5.391,6,30.769,0,0,9,4,49,163,10,12,0
373,2026-05-09 18:07:10,105.0,harges,40.141,90.668,1,4,2,5.705,6,40.141,0,0,5,15,57,173,9,15,0
376,2026-02-25 19:20:10,78.88,qwecocacola,24.571,22.598,0,8,8,6.047,4,24.571,0,0,1,1,43,175,7,5,0
