Player ID,PlayerName,ELO,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,Samples,WINSTREAK,LOSESTREAK,TIESTREAK
177,oh95,13.831,0.387,0.485,0.15,0.971,0.494,0.234,0.192,16,20,0,7,16,20,0
181,Yolowolf75,13.75,0.384,0.504,0.143,1.0,0.478,0.2,0.163,1,3,1,1,1,3,1
194,Math1234,16.65,0.514,0.633,0.143,1.0,0.55,0.44,0.388,3,1,1,1,3,1,1
217,ShelterRin,9.587,0.203,0.272,0.0,0.8,0.389,0.0,0.041,2,3,0,1,2,3,0
228,Dry,10.85,0.259,0.312,0.048,0.4,0.529,0.2,0.082,4,2,0,1,4,2,0
241,yasashiikumo,9.454,0.197,0.248,0.024,0.6,0.401,0.06,0.041,4,5,1,2,4,5,1
263,Tvaz,13.697,0.381,0.459,0.143,1.0,0.529,0.249,0.175,21,25,2,9,21,25,2
268,civiltwlight,18.35,0.601,0.743,0.333,0.95,0.601,0.47,0.459,10,12,0,4,10,12,0
274,Mami,13.766,0.384,0.455,0.143,1.0,0.519,0.24,0.224,4,2,0,1,4,2,0
276,hmsuis,12.027,0.31,0.388,0.067,0.96,0.471,0.168,0.094,14,12,0,5,14,12,0
277,chemist,11.093,0.27,0.351,0.071,0.8,0.415,0.16,0.031,5,5,0,2,5,5,0
289,Provenance,11.139,0.272,0.32,0.095,0.9,0.435,0.16,0.056,11,9,1,4,11,9,1
291,ss_r_white_pony,8.47,0.152,0.151,0.0,1.0,0.33,0.0,0.0,2,3,0,1,2,3,0
292,FeyFey,9.084,0.18,0.191,0.011,0.733,0.42,0.058,0.032,20,29,0,9,20,29,0
317,Hyo,9.408,0.195,0.216,0.0,0.8,0.429,0.0,0.102,3,2,0,1,3,2,0
325,Swapin,10.705,0.253,0.328,0.032,1.0,0.389,0.107,0.02,6,8,1,3,6,8,1
326,pomo,9.327,0.192,0.198,0.095,0.8,0.388,0.08,0.0,1,4,0,1,1,4,0
327,Flato,13.995,0.394,0.504,0.129,0.96,0.505,0.26,0.176,41,33,2,10,27,29,0
330,_nadeshiko,17.147,0.538,0.614,0.405,1.0,0.57,0.5,0.306,6,5,0,2,6,5,0
332,Mangalodon,10.268,0.234,0.229,0.048,0.8,0.458,0.24,0.02,3,2,0,1,3,2,0
335,xeyz,9.358,0.193,0.211,0.0,0.8,0.429,0.08,0.02,1,4,0,1,1,4,0
