player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate,rigs,rigs hit,correct count,song count,Rigs missed,Offlist GR,,
denero,30.392,,27.082,1,4.613,29.63,31.429,30,19,18,31,102,1,15.66%,,140
OnlyWorldDaiStar,27.451,,27.556,1,4.429,48.148,20,20,28,12,28,102,16,21.62%,,133
SaikiChan,27.368,,23.806,2,4.308,25,36.842,19.512,11,10,26,95,1,19.05%,,115
mahzrunner,25.234,,27.301,3,4.296,30,23.913,22.581,23,20,27,107,3,8.33%,,143
AmamiyaSora,24.545,,26.122,2,4.37,22.222,33.333,17.021,40,24,27,110,16,4.29%,,168
legrandort,23.158,,25.833,0,4.682,18.75,15.789,31.707,19,17,22,95,2,6.58%,,159
Jakemonkey,22.43,,26.414,3,3.833,43.333,21.739,3.226,15,12,24,107,3,13.04%,,134
Hiitagi,20.354,,25.198,2,4.391,18.75,17.391,23.529,31,20,23,113,11,3.66%,,158
JustaWeirdo,18.421,,25.041,1,4.238,13.636,11.765,29.268,20,18,21,114,2,3.19%,,171
psirockin,10.577,,28.304,0,5.636,15,10.811,8.511,19,7,11,104,12,4.71%,,180
,,,,,,,,,,,,,,,,
2024-01-11,,,,,,,,,,,,,,,,#N/A
FORTNAYT,64.286,,23.577,3,4.111,70,72.581,50,43,42,90,140,1,49.48%,,28
Lika,57.037,,25.067,7,4.403,50,53.448,64.151,55,53,77,135,2,30.00%,,58
