Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
379,2026-02-13 22:29:59,53.3,CipherKai,52.381,50.595,4,5,0,4.197,24,0,52.381,0,6,11,66,126,2,3,0,87.234,31.646,37.302,47,7,2,41,6,1,2,3.872,25
382,2026-03-16 22:36:01,25.63,Shiku,27.826,18.75,0,3,0,4.844,8,0,27.826,0,1,5,32,115,1,4,0,75.758,8.537,28.696,33,2,0,25,8,1,0,4.788,7
395,2026-04-14 21:18:33,18.69,LordGrond,23.529,23.549,3,4,2,4.5,14,0,23.529,0,5,5,34,149,12,4,0,96.154,7.317,20.588,26,7,0,25,3,0,0,4.143,9
400,2026-02-13 22:29:59,33.0,Vr0003,24.603,27.722,3,5,3,4.0,13,0,24.603,0,4,9,31,126,2,3,0,70.37,12.121,21.429,27,9,2,19,8,1,0,2.852,12
403,2026-03-16 22:36:01,40.85,AnnaYanami,34.188,30.153,0,6,0,4.15,16,0,34.188,0,3,5,40,117,4,1,0,95.238,20.833,17.949,21,3,1,20,1,0,0,3.619,20
410,2026-04-23 18:00:49,66.32,FoopyPoopy,28.319,24.064,1,7,6,5.35,7,0,7.965,0,5,4,44,164,10,16,1,92.857,7.937,6.195,38,5,2,34,4,1,0,5.091,10
426,2026-05-07 17:27:53,56.723,brandon_K,20.833,43.255,1,5,0,4.6,9,0,20.833,0,4,3,25,120,3,3,0,95.652,3.093,19.167,23,1,0,22,1,1,0,4.348,3
430,2026-03-16 22:36:01,41.27,HaruUrara,45.133,46.758,4,4,2,4.294,22,0,45.133,0,9,10,51,115,5,5,0,91.667,32.584,28.696,33,6,1,30,3,1,1,3.542,29
464,2026-01-02 22:09:11,29.0,Najeem,18.966,18.528,3,7,2,4.091,8,0,18.966,0,3,7,22,116,3,2,0,83.333,2.174,20.69,24,2,0,20,4,1,0,3.917,2
468,2026-01-02 22:09:11,16.0,MisheruDesu,14.444,13.357,1,3,0,4.0,6,0,14.444,0,3,1,13,90,4,1,0,69.231,5.195,14.444,13,2,0,9,4,1,1,3.769,4
472,2026-02-13 22:29:59,21.0,Whales6978,14.815,6.35,0,8,0,5.625,2,0,14.815,0,1,0,16,108,1,4,0,45.833,5.952,22.222,24,0,0,11,13,3,0,4.292,5
478,2026-02-13 22:29:59,38.7,jaimeywea,36.842,30.632,0,2,1,4.262,12,0,36.842,0,1,8,42,114,1,4,0,82.759,21.176,25.439,29,4,0,24,5,1,0,3.759,18
514,2026-03-16 22:36:01,8.0,zomg,13.6,10.008,1,4,0,4.824,4,0,13.6,0,1,0,17,125,4,1,0,59.091,3.883,17.6,22,2,2,13,9,0,0,3.818,4
531,2026-05-07 17:27:53,60.0,tmokenc,50.0,119.289,3,3,0,4.086,25,0,50,0,11,6,58,116,5,1,0,94.737,28.205,32.759,38,1,0,36,2,0,0,3.947,22
