Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE
166,2026-06-26 21:44:29,60.0,gw13,14.458,14.166,0,22,1,5.625,2,0,0,14.458,0,1,24,166,2,4,0
171,2026-07-28 21:54:59,76.7,JustAWeirdo,18.182,34.539,3,59,2,5.75,6,0,0,9.524,5,3,22,163,24,29,3
177,2026-02-06 06:03:08,13.0,oh95,29.032,10.031,4,28,0,4.156,17,0,0,29.032,4,8,45,155,4,2,0
217,2026-07-28 21:54:59,74.12,ShelterRin,26.389,52.971,3,48,0,5.353,5,0,0,26.389,4,11,38,163,7,9,2
221,2026-06-26 21:44:29,77.5,Neumann,37.255,75.224,5,16,2,4.526,21,0,0,37.255,9,4,57,153,3,3,0
230,2026-02-06 06:03:08,12.0,BigSmo,24.444,9.267,6,29,0,4.303,14,0,0,24.444,8,3,33,135,5,1,0
237,2026-06-18 22:03:41,55.0,transfer,8.287,15.579,0,15,13,4.8,5,0,0,8.287,2,2,15,181,2,4,0
269,2026-07-28 21:54:59,70.0,icefeed2,16.667,23.376,1,48,1,5.0,7,0,0,16.667,3,3,24,144,3,2,1
274,2026-06-03 21:55:49,93.0,Mami,25.352,60.794,3,37,1,3.917,19,0,0,25.352,5,10,36,142,1,5,0
286,2026-01-19 20:30:37,8.51,Lakumix,24.812,5.467,3,38,0,4.455,12,0,0,24.812,7,1,33,133,2,4,0
289,2026-06-18 22:03:41,95.97,Provenance,31.405,52.107,3,47,7,4.971,20,0,0,31.405,7,9,42,168,12,17,1
291,2026-01-19 20:30:37,8.692,ss_r_white_pony,23.704,6.238,4,38,0,3.812,14,0,0,23.704,7,5,32,135,3,3,0
292,2026-03-07 22:02:31,83.86,FeyFey,19.259,32.914,4,36,4,5.227,6,0,0,19.259,7,4,26,147,7,11,0
311,2026-02-06 06:03:08,12.0,beautiful,22.556,8.129,3,23,0,3.967,12,0,0,22.556,7,3,30,133,0,6,0
318,2026-06-18 22:03:41,72.66,Nephirea,29.787,41.349,1,42,1,5.286,9,0,0,29.787,4,8,56,188,5,6,1
335,2026-07-28 21:54:59,75.0,xeyz,17.606,27.925,2,48,4,5.217,6,0,0,17.606,3,1,25,144,8,2,2
336,2026-02-06 06:03:08,10.0,fiftypercentweeb,23.967,7.082,0,22,0,4.276,13,0,0,23.967,3,4,29,121,3,3,0
338,2026-06-26 21:44:29,55.0,ranny,10.458,7.493,0,16,7,6.125,1,0,0,10.458,1,0,16,153,3,3,0
347,2026-06-18 22:03:41,92.2,Selaph,37.857,84.419,4,33,0,5.302,8,0,0,37.857,11,13,63,187,13,4,1
348,2026-07-28 21:54:59,65.0,Heleos,19.512,38.088,3,45,1,4.208,10,0,0,19.512,3,5,24,123,3,3,0
353,2026-07-09 20:01:47,91.22,Solosion,27.119,59.529,2,46,1,4.84,8,0,0,27.119,7,2,27,133,10,5,1
357,2026-05-24 17:59:02,86.05,chommy,19.014,37.162,4,47,4,5.037,9,0,0,19.014,7,3,27,180,13,9,2
379,2026-02-06 06:03:08,11.0,CipherKai,27.407,8.028,1,29,0,4.514,15,0,0,27.407,4,6,37,135,5,1,0
391,2026-02-06 06:03:08,8.0,rinshantsumo,6.015,1.529,0,23,2,4.5,2,0,0,6.015,1,0,8,133,0,6,0
394,2026-07-28 21:54:59,105.0,Komari,34.146,87.769,9,56,1,4.512,23,0,0,34.146,15,10,43,142,8,6,2
398,2026-01-04 22:04:34,8.0,kabao,21.111,4.61,2,47,1,4.763,13,0,0,21.111,6,7,38,180,4,2,0
399,2026-07-28 21:54:59,66.47,ElJuanchi,16.552,29.387,2,45,0,5.143,7,0,0,16.552,6,3,24,145,10,11,1
405,2026-07-05 15:51:11,50.0,anicomi,12.195,16.795,1,21,0,5.0,3,0,0,12.195,1,1,10,82,0,3,1
410,2026-01-09 05:13:22,4.915,FoopyPoopy,5.556,1.739,1,26,2,3.857,3,0,0,5.556,1,1,7,126,2,4,0
417,2026-07-28 21:54:59,70.0,YellowRose,21.127,54.419,6,56,0,3.667,18,0,0,21.127,9,6,30,142,3,3,0
418,2026-06-18 22:03:41,140.0,Bai,74.033,220.869,15,15,0,3.754,70,0,0,74.033,23,43,134,181,2,4,0
419,2026-07-28 21:54:59,60.0,Keysha,10.563,9.505,0,56,0,5.6,2,0,0,10.563,1,1,15,142,3,3,0
430,2026-07-09 20:01:47,100.0,HaruUrara,32.394,86.71,4,26,0,4.217,22,0,0,32.394,8,5,46,142,9,0,1
431,2026-07-28 21:54:59,63.75,Luna,18.634,34.958,2,56,4,5.8,7,0,0,9.804,6,4,30,161,23,11,4
441,2026-05-24 17:59:02,80.0,Dav1d,14.744,27.83,0,46,1,4.739,8,0,0,14.744,1,2,23,156,1,3,2
453,2026-07-28 21:54:59,64.53,RyoutaVN,21.138,54.228,6,45,1,4.88,9,0,0,21.138,9,5,30,155,8,10,0
505,2026-07-09 20:01:47,85.8,MaikaSasaki,32.927,70.283,3,36,0,4.25,4,0,0,32.927,6,6,30,145,7,5,2
520,2026-06-18 22:03:41,95.0,konomi,34.254,54.265,1,15,2,4.984,16,0,0,34.254,6,3,62,181,2,4,0
