Tournament Date,Player ID,Player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
2025-12-20,14,ArronChu,64.423,20.515,29.87,13,3.224,60,72.549,54.545
2025-12-22,14,ArronChu,54.167,20.031,30.486,12,3.423,71.429,55.769,43.333
2025-10-21,16,yahallonyanpasu,45.912,13.91,30.032,8,4.137,63.636,40.58,36.957
2025-10-21,16,yahallonyanpasu,54.4,15.821,28.159,14,3.471,75,52.381,36.667
2025-10-23,16,yahallonyanpasu,53.968,15.892,29.806,13,3.647,80.556,47.458,35.484
2025-10-25,16,yahallonyanpasu,51.316,14.213,27.441,25,3.167,70.455,52.857,26.316
2025-10-26,16,yahallonyanpasu,52.525,17.932,26.76,17,3.038,56.522,55.556,45.161
2025-10-29,16,yahallonyanpasu,44.828,16.481,26.199,11,3.492,53.125,50.82,32.692
2025-10-30,16,yahallonyanpasu,48.696,13.55,31.48,8,3.911,60.606,50,35.294
2025-11-02,16,yahallonyanpasu,46.099,15.978,27.28,8,3.815,61.765,43.333,38.298
2025-11-03,16,yahallonyanpasu,47.826,15.814,29.395,7,3.473,66.667,43.86,43.243
2025-11-04,16,yahallonyanpasu,48.299,15.894,27.761,18,3.254,70.968,46.575,34.884
2025-11-29,20,kkura_,50.0,12.838,32.488,3,4.338,43.75,56.923,42.424
2025-12-05,20,kkura_,54.225,14.65,31.841,11,3.416,48.571,60.294,48.718
2025-12-06,20,kkura_,57.5,14.775,31.478,6,4.87,54.054,60.526,55.319
2025-12-06,20,kkura_,44.348,11.471,28.572,6,3.961,56.667,41.667,37.838
2025-12-07,20,kkura_,43.75,13.055,34.221,5,3.796,62.069,39.583,34.286
2025-12-15,20,kar72,47.651,9.356,35.647,8,4.549,59.459,51.389,30
2025-12-18,20,kar72,65.517,16.762,31.263,3,4.284,70.27,66.667,58.333
2025-12-20,20,kar72,50.0,12.963,27.241,6,3.6,52.941,58.333,32.143
2025-12-20,20,kar72,45.045,9.896,33.013,1,4.86,53.846,42.857,41.667
2025-12-21,20,kar72,49.153,13.874,28.944,5,4.103,60.465,52.055,37.705
2025-09-09,21,PoolNoodle,52.318,13.104,29.732,8,3.835,44.444,52.778,58.14
2025-10-05,21,PoolNoodle,48.889,12.384,31.822,1,3.795,54.545,38.235,55.882
2025-10-09,21,PoolNoodle,55.921,14.951,29.408,11,3.541,54.054,50,70.27
2025-10-17,21,PoolNoodle,58.896,14.068,32.397,10,4.219,68.889,51.389,60.87
2025-10-18,21,PoolNoodle,56.075,17.781,30.252,11,3.467,64.865,48.571,54.286
2025-10-21,21,PoolNoodle,48.503,13.942,30.361,5,4.123,60.526,44.444,45.833
2025-10-26,21,PoolNoodle,51.613,12.068,33.108,5,3.797,58.824,43.333,60
2025-10-27,21,PoolNoodle,56.364,12.896,33.468,2,4.677,61.111,50,63.83
2025-11-20,21,PoolNoodle,51.948,19.292,29.237,11,4.325,58.974,44.118,57.447
2025-12-21,21,PoolNoodle,43.165,10.33,31.738,6,3.7,25.806,49.275,46.154
2025-10-05,22,remake,58.879,17.412,28.462,4,3.46,76.923,62.264,35.714
2025-10-15,22,remake,51.799,13.566,32.018,4,4.125,69.565,40.351,47.222
2025-10-23,22,remake,51.587,13.108,29.758,6,3.846,46.667,52.381,54.545
2025-11-02,22,remake,51.049,13.934,33.289,5,4.781,61.29,52.239,42.222
2025-12-07,23,Shuuka,34.579,9.308,33.573,1,3.865,45.833,30,33.333
2025-11-05,25,ESPERMINHA,36.585,8.594,35.807,4,5.067,45.455,21.622,50
2025-11-29,25,ESPERMINHA,31.915,9.39,30.377,2,4.533,42.857,34.783,20.455
2025-12-07,25,ESPERMINHA,35.052,9.944,32.923,3,3.765,60.87,20.833,38.462
2025-12-07,25,ESPERMINHA,40.523,9.995,29.819,8,4.016,57.895,35.294,34.043
2025-12-20,25,ESPERMINHA,35.849,9.84,33.732,5,4.711,47.059,26.829,35.484
2025-07-21,26,asleep,42.5,8.684,30.769,2,5.074,46.341,47.5,28.205
2025-08-08,26,asleep,38.4,10.659,31.821,4,4.438,44.828,45.455,24.39
2025-10-21,26,asleep,40.881,10.385,32.587,5,4.662,46.154,50,19.048
2025-11-02,26,asleep,38.053,9.062,31.089,1,4.767,41.176,44.737,29.268
2025-11-15,26,asleep,44.715,10.097,33.422,3,4.673,54.054,41.818,38.71
2025-11-20,26,asleep,34.848,8.28,30.624,2,4.978,48.387,38.333,19.512
2025-11-22,26,asleep,45.294,11.221,30.512,14,3.325,62.5,40.323,39.706
2025-11-29,26,asleep,46.429,11.645,28.438,4,4.231,50,43.103,50
2025-12-06,26,asleep,40.141,9.998,29.669,1,4.947,37.931,42.667,36.842
2025-12-13,26,asleep,51.825,12.588,30.586,3,4.62,44.444,59.701,44.118
2025-11-08,27,SUS_DOMESTICUS,62.406,16.665,29.161,6,3.855,72.727,59.091,58.824
2025-11-14,27,SUS_DOMESTICUS,49.153,15.617,27.359,8,3.431,73.913,44.444,40.625
2025-11-17,27,SUS_DOMESTICUS,67.619,20.436,26.7,8,3.775,74.074,70.833,56.667
2025-12-09,27,SUS_DOMESTICUS,56.296,16.068,32.758,17,3.066,54.545,56.25,57.895
2025-12-12,27,SUS_DOMESTICUS,57.426,18.372,28.885,14,3,54.839,52.381,67.857
2025-12-16,27,SUS_DOMESTICUS,47.5,14.642,29.131,6,3.456,62.963,39.655,48.571
2025-12-18,27,SUS_DOMESTICUS,47.5,13.351,32.838,4,4.329,60.976,43.836,41.304
2025-12-19,27,SUS_DOMESTICUS,56.25,17.156,30.136,7,3.958,61.538,64.912,34.375
2025-12-20,27,SUS_DOMESTICUS,45.946,12.614,31.231,3,4.529,50,42.857,47.222
2025-12-20,27,SUS_DOMESTICUS,66.038,18.803,32.563,7,4.343,64.706,65.854,67.742
2025-11-22,28,FORTNAYT,57.778,16.615,28.498,4,4.231,69.231,72.5,20.833
2025-11-22,28,FORTNAYT,54.4,14.34,31.933,7,4.059,72.727,50.847,42.424
2025-11-24,28,FORTNAYT,58.642,16.762,31.715,15,3.695,67.5,56.962,53.488
2025-11-25,28,FORTNAYT,60.0,15.843,31.41,8,4.222,66.667,68.519,43.59
2025-12-05,28,FORTNAYT,51.095,14.619,33.113,7,3.771,65.714,52.459,36.585
2025-12-09,28,FORTNAYT,51.639,16.712,30.292,16,3.698,65.789,60,23.529
2025-12-10,28,FORTNAYT,50.0,13.765,30.616,9,3.467,65.217,53.125,33.333
2025-12-14,28,FORTNAYT,50.769,15.493,31.5,10,3.5,70.968,54.237,30
